Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Convocatoria | Exposición colectiva Panoramas,Brasil,Artly Mix,"Dirigida a artistas que desean exponer su trabajo en un país diferente sin estar físicamente presentes. Requiere pago de participación ya que es una exhibición grupal con cuotas de participación. No especifica disciplinas artísticas concretas ni menciona restricciones geográficas, por lo que parece estar abierta a artistas de Latinoamérica. Se deben enviar las imágenes de las obras.",https://www.artlymix.com/opencallpanoramas/,Convocatoria,Visuales,Visuales,Pago,,BRL,,100.0
Beca | Capacitación y Eventos Regionales de AFAC,Líbano,The Arab Fund for Arts and Culture - AFAC,"Apoyo económico para proyectos culturales y artísticos vinculados al mundo árabe, como talleres, capacitaciones, residencias, festivales, foros y plataformas de archivo. Está dirigido a personas de los países árabes (miembros de la Liga Árabe), sin importar su lugar de residencia o ciudadanía, así como a instituciones locales, regionales o internacionales con proyectos relacionados con la cultura árabe. Las subvenciones pueden ser de hasta USD 25.000 para personas y equipos, y hasta USD 35.000 para colectivos e instituciones.",https://www.arabculturefund.org/Programs/16,Beca,"Otras, Instituciones, Cultura Árabe",Otras,Sin cargo,25000.0,USD,25000.0,
Residencia | Farm Studio International Artist Residency,India,Farm Studio,"Residencia artística en una comunidad rural de Rajastán, India, abierta a artistas emergentes y consolidados de todas las disciplinas (danza, teatro, música, escritura, artes visuales, cerámica, instalación, etc.), incluyendo artistas latinoamericanos. También pueden postular curadores, críticos e investigadores. La convocatoria está abierta de forma continua, y la selección se basa en la motivación, muestra de obra y disponibilidad. La residencia ofrece alojamiento, comidas vegetarianas, espacios de trabajo, internet, herramientas básicas y oportunidades de exhibición, pero los artistas deben cubrir los costos de la residencia, materiales, viaje, visa y seguro, y pagar un depósito no reembolsable en caso de ser seleccionados.",https://farmingstudio.wordpress.com/,Residencia,Multidisciplinar,Otras,Pago,,,,
Convocatoria | Cuentos y Ensayos para publicación Extra Teeth Número 10,Reino Unido,Extra Teeth Scottish magazine,"Convocatoria internacional para cuentos y ensayos creativos, sin tema específico, de entre 800 y 4.000 palabras. Pueden postular personas de cualquier país, incluidos escritores latinoamericanos, con obras inéditas, originales y en inglés. Se busca escritura audaz, con estilo propio, tanto ficción como no ficción. Se pagan £140 por pieza publicada en la revista impresa (más dos ejemplares), y £100 por publicación en su boletín digital. No se cobra por postular y se aceptan traducciones con permiso. ",https://www.extrateeth.co.uk/submissions,Convocatoria,"Literatura, Cuento, Ensayo",Literatura,Sin cargo,,,,
Beca | Artist Grants Summer 2025,EEUU,TERAVARNA Galería de arte,"Dirigida a artistas visuales de todo el mundo, sin importar su trayectoria, formación o nacionalidad. Cualquier persona mayor de 18 años puede aplicar enviando una o más obras de arte mediante un proceso 100% virtual. La inscripción cuesta USD 45 e incluye la presentación de hasta cinco obras; se pueden enviar más abonando tarifas adicionales. Dos veces al año, se otorgan subvenciones de USD 2.000 a los artistas seleccionados por un jurado que evalúa exclusivamente la calidad de las obras, sin considerar CV, biografía ni reconocimiento previo. ",https://www.teravarna.com/artist-grants,Beca,Visuales,Visuales,Pago,,USD,2000.0,45.0
Convocatoria | Ilustradores para publicación,Reino Unido,Extra Teeth Scottish magazine,"La revista contrata a un ilustrador invitado por número. Los interesados para ser considerados deberán envíar su trabajo a mailto:hello@extrateeth.co.uk con el asunto ""ILLUSTRATOR"". Los ilustradores cobran 923 libras y colaboran con nuestro diseñador para crear el tono y la atmósfera de la revista. Nos interesa especialmente conocer a ilustradores marginados. No menciona si esta abierto a ilustradores latianoamericanos.",https://www.extrateeth.co.uk/submissions,Convocatoria,"Visuales, Ilustrador",Visuales,Sin cargo,923.0,GBP,1153.75,
Convocatoria | August 2025 Emerging Artist Solo Exhibition,EEUU,ARC Gallery de Chicago,"Abierta a artistas visuales de todas las disciplinas, edades y lugares del mundo, incluyendo Latinoamérica. Los artistas seleccionados contarán con espacio de exhibición gratuito, sin comisiones sobre ventas, aunque no se ofrecen viáticos ni ayuda para viajes. Las obras deben estar completas, disponibles y listas para exhibirse al momento de aplicar, y se valorará una propuesta clara y un cuerpo de obra coherente. La exposición tendrá lugar del 31 de julio al 29 de agosto de 2025, con inauguración el 1 de agosto, y se espera que los artistas estén presentes para el montaje (27 de julio), la inauguración y el desmontaje (30 de agosto). La aplicación tiene un costo de 25 USD, con posibilidad de exención por dificultades económicas.",https://www.arcgallery.org/calls-for-entry-archive/open-call-august-2025,Convocatoria,Visuales,Visuales,Pago,25.0,USD,25.0,
Residencia | Sound Studies Writing Residency “The Walls Have Ears”,Países Bajos,Sonic Acts - De Ateliers/Woonhuis,"Dirigido a artistas individuales residentes en la UE (y el Reino Unido) con al menos una publicación (como un artículo revisado por pares, un libro o equivalente) en el campo de los estudios de sonido pueden solicitar esta residencia. Residencia de escritura sobre estudios de sonido totalmente financiada que tendrá lugar en Ámsterdam en febrero de 2026. La residencia ofrece tiempo, espacio y apoyo crítico para desarrollar un proyecto de escritura enfocado.",https://www.sonicacts.com/agenda/the-walls-have-ears,Residencia,"Música, Arte sonoro, Sonido, Investigación",Música,Sin cargo,,,Residencia,
Premio | June Pleinair Salon Online Art Competition,EEUU,PleinAir Magazine,"Dirigido a artistas mayores de 18 años de cualquier país, la PleinAir Magazine - June Pleinair Salon Online Art Competition requiere pago de inscripción, acepta solo pinturas originales (no digitales ni fotografías) de cualquier estilo, y otorga hasta $15,000 USD al ganador principal, con un total de $50,000 USD en premios; la convocatoria está abierta para artistas de Latinoamérica.",https://pleinairsalon.com,Premio,Visuales,Visuales,Pago,,USD,15000.0,
Convocatoria | Programa Emerging New Media Artists,Arabia Saudita,Diriyah Art Futures & Le Fresnoy,"Dirigido a artistas emergentes de hasta 35 años con experiencia en arte digital y nuevos medios; no requiere pago. Disciplinas involucradas: arte, ciencia y tecnología (inteligencia artificial, realidad virtual/aumentada, sonido, cine, archivos digitales). Abierto a postulantes de todo el mundo, incluyendo artistas de Latinoamérica.",https://daf.moc.gov.sa,Convocatoria,"Visuales, Cine, Nuevos Medios, Arte Digital",Cine,Sin cargo,,,,
Convocatoria | 2025 CPI Global Connect Workshop,Corea del Sur,Fundación Coreana para el Intercambio Cultural Internacional (KOFICE),"Programa intensivo de tres semanas que se realizará del 1 al 19 de septiembre de 2025 en Seúl, Corea del Sur, dirigido a profesionales del ámbito cultural y artístico con al menos 3 años de experiencia, interesados en la transformación digital en la cultura. Tema: Fortalecimiento de las capacidades culturales: transformación hacia un entorno digital, por ejemplo VR Performance, IA, Iteractive media art. Campos: Artes Performáticas, Escénicas, Artes visuales. Está abierto a participantes de diversas regiones, incluyendo América Latina, y se desarrollará completamente en inglés. El programa cubre todos los gastos: pasajes aéreos, alojamiento, viáticos, seguro de viaje y participación en actividades. Está diseñado para fomentar redes internacionales, intercambiar conocimientos y realizar investigaciones de campo en instituciones culturales coreanas.",http://eng.kofice.or.kr/notice/notice_view.asp?f_seq=25120,Convocatoria,"Escénicas, Visuales, Música, Arte digital",Música,Sin cargo,,,Residencia,
Convocatoria | Clay Films 2025,Reino Unido,British Ceramics Biennial,"Dirigido a artistas de la mayoría global de ascendencia africana y caribeña, radicados en cualquier parte del mundo, a postular a su programa Clay Films. El objeto de la convocatoria es celebrar y visibilizar el cine que captura la vitalidad de la arcilla como medio, buscando obras que utilicen el cine para la narración, el activismo, la provocación o la exploración de la identidad, constituyéndose como obras artísticas en sí mismas. Se seleccionarán diez cortometrajes ya existentes para ser exhibidos en la Bienal, que se realizará en Stoke-on-Trent, Reino Unido, del 6 de septiembre al 19 de octubre de 2025. La inscripción es gratuita.",https://www.britishceramicsbiennial.com/about/opportunities/clay-films/,Convocatoria,"Cine, Visuales, Películas de Arcilla,",Cine,Sin cargo,,GBP,,437.5
Convocatoria | Convocatoria de Artículos: Co-Authored Narratives,Reino Unido,"Side, Newcastle upon Tyne","Co-Authored Narratives, un simposio que explora los enfoques de autoría colectiva del cine y la fotografía como una práctica artística distintiva arraigada en el norte de Inglaterra (y en otras áreas del Reino Unido), destacándolo como un método globalmente relevante para el compromiso social y cultural. Dirigido a artistas, investigadores, curadores, educadores y colectivos de cualquier país.  Disciplinas: fotografía, cine documental y prácticas basadas en medios de imagen. Los seleccionados reciben £150 si no cuentan con financiación institucional. Como parte de la solicitud, deberá confirmar su asistencia presencial al simposio del viernes 29 de agosto de 2025 en Newcastle upon Tyne para que su propuesta sea aceptada. No se cubren gastos de viaje ni alojamiento.",https://sidegallery.co.uk/blog/call-for-papers-co-authored-narratives,Convocatoria,"Otras, Investigación, Cine, Fotografía",Cine,Sin cargo,150.0,GBP,187.5,
Convocatoria | SEED_2065,Reino Unido,The Museum of Human Violence,"Se invita a artistas a participar en un proyecto colaborativo gratuito enfocado en el arte y Futurismos Radicales para un mundo post-antropocéntrico. Este programa de cinco meses, del 17 de julio al 16 de diciembre de 2025, busca crear una cohorte de 12-15 artistas para investigar, discutir y desarrollar nuevas obras de arte que exploren un futuro justo para toda la vida, incluyendo la relación humano-máquina y la sanación de los ecosistemas. El proyecto culminará con una ambiciosa exposición de dos semanas en The Handbag Factory Gallery de Londres del 3 al 16 de diciembre. Los interesados deben enviar un único documento PDF con su información de contacto, descripción de práctica e intereses, motivación para participar, experiencia con futurismos radicales y enfoque en la ""otra"" naturaleza, hasta 5 imágenes de su trabajo, ideas para nuevas obras, disponibilidad para supervisar la exposición y otras habilidades relevantes.",https://themuseumofhumanviolence.com/open-call-seed_2065/#,Convocatoria,"Visuales, ",Visuales,Sin cargo,,GBP,,
Convocatoria | Hotel ACTUAL - Convocatoria para artistas contemporáneos,España,"Festival Actual - Gobierno de La Rioja, Logroño","Dirigida a artistas visuales individuales de cualquier nacionalidad mayores de 18 años, con categorías específicas para artistas internacionales, nacionales (residentes en España), residentes en La Rioja y estudiantes de ESDIR. Hotel ACTUAL será una muestra de arte contemporáneo en formato feria de pequeña escala, en la que las habitaciones de un hotel se transformarán en espacios expositivos intervenidos por artistas seleccionados. Los cinco artistas seleccionados recibirán espacio de exposición gratuito (una habitación de hotel), alojamiento con desayuno, una beca de producción de 800 €, apoyo para viaje, dietas, aparcamiento, soporte técnico, entre otras. ",https://actualfestival.com/hotel-actual/,Convocatoria,"Visuales, Pintura, Escultura, Instalación, Fotografía, Video",Cine,Sin cargo,800.0,EUR,864.0,
"Residencia | Programa de Residencia Artística “Urbanism and Sea”, en Kavala ",Greece,Eutopia Art Residency,"Dirigida a artistas visuales, fotógrafos, músicos, escritores, arquitectos, directores y actores de cualquier parte del mundo, incluidos artistas de Latinoamérica; requiere pago para participar y abarca disciplinas como artes visuales, fotografía, música, escritura, arquitectura, dirección y actuación.",https://eutopiaart.com,Residencia,"Multidisciplinar, Investigación",Otras,Pago,,,,
Residencia | AIR Vallauris (Artistas en Residencia),Francia,A.I.R. Vallauris,"Situada en el corazón del casco antiguo de Vallauris, AIR Vallauris (Artistas en Residencia), asociación sin ánimo de lucro, acoge a artistas de todo el mundo en sus alojamientos y estudios para reunirse con artistas locales e investigar y crear nuevas obras en un entorno único. Consulta por los programas disponibles y las fechas para reservar.",https://www.air-vallauris.org/residency/,Residencia,Visuales,Visuales,Sin cargo,,EUR,,
Residencia | Residency for Glassmakers and Artists,República Checa,Kolodium Glass,"Ofrecen programas de residencia diseñados para artistas internacionales que desean sumergirse en el mundo de la vidriería o las técnicas fotográficas históricas. Los programas ofrecen espacio para el diálogo artístico, orientación profesional e instalaciones totalmente equipadas para el proceso creativo y la experimentación. Ofrecen ayuda para encontrar alojamiento y  proporcionar la documentación necesaria para obtener becas u otras subvenciones.",https://kolodiumglass.cz/residencies,Residencia,"Visuales, Diseño, Vidrio, Fotografía",Diseño,Pago,,,,
Residencia | WilderHaven Artist Residency (WHAR) 2025,China,WilderHaven Artist Residency,"Dirigido a artistas de todas las disciplinas artísticas, la Residencia no requiere pago para postular, está abierta a participantes internacionales (incluyendo Latinoamérica).",https://wilderhaven.org/,Residencia,Multidisciplinar,Otras,Pago,,CNY,,
Convocatoria | Sonic Pavilion 2025. Composiciones Sonoras Multicanal,EEUU,Experimental Sound Studio,"Se busca propuestas de composiciones sonoras multicanal para el sistema de altavoces ubicado en la estructura superior del Jay Pritzker Pavilion, en el corazón del centro de Chicago. Los proyectos propuestos deben destacar el potencial único del sonido multicanal en este contexto altamente público, utilizando los 24 canales disponibles y demostrando una consideración especial por la ubicación y la arquitectura del sistema. Las obras deben tener una duración de entre 10 y 25 minutos. El Festival 2025 contará con la participación de entre 4 y 8 artistas, y cada obra será reproducida varias veces durante el período de instalación. Cada artista o equipo artístico recibirá un honorario de $1,000.",https://ess.org/news/sonic-pavilion-call-2025,Convocatoria,"Música, Composición, Experimental",Música,Sin cargo,1000.0,USD,1000.0,
"Premio | XXVII Premio Desnivel de Literatura de Montaña, Viajes y Aventuras",España,Ediciones Desnivel,"Dirigido a escritores de cualquier nacionalidad con obras narrativas o ensayísticas inéditas en castellano; no requiere pago para participar. Disciplina: literatura (montaña, viajes y aventuras); el premio es de 3.000 euros y publicación. Abierto a escritores de Latinoamérica.",https://edicionesdesnivel.com/premio-desnivel-de-literatura/,Premio,"Literatura, Narrativa",Literatura,Sin cargo,3000.0,EUR,3240.0,
Premio | XLIII Certamen Literario Francisco de Quevedo,España,"Orden Literaria ""Fco. de Quevedo”","Dirigido a escritores mayores de 18 años de cualquier nacionalidad, no requiere pago para participar, la disciplina es poesía, el premio principal es de 900 euros, y está abierto a participantes de Latinoamérica siempre que presenten obras en castellano.",https://campodemontielinfo.com/xliii-certamen-poetico-internacional-francisco-de-quevedo-villanueva-de-los-infantes-2025/,Premio,"Literatura, Poesía",Literatura,Sin cargo,900.0,EUR,972.0,
Premio | XIII Edición Concurso de relato corto 2025,España,Nuevo Casino Principal de Pamplona,"Dirigido a cualquier persona mayor de edad, sin restricción geográfica. No requiere pago para participar. Disciplina: relato corto escrito en español; El tema de la obra será ""Mundo cambiante, futuro incierto"". (Tema libre en toda su amplitud); premio de 1.000 euros. Abierto a artistas de Latinoamérica.",https://www.nuevocasino.es/actividades-y-eventos/concurso-2/,Premio,"Literatura, Relato",Literatura,Sin cargo,1000.0,EUR,1080.0,
"Premio | XXXIII Edición del Certamen Literario ""Mujerarte"" 2025",España,Diputación de Córdoba,Dirigido a mujeres mayores de 16 años residentes en España; no requiere pago para participar. Disciplinas: relato breve y poesía. El premio otorga 1.000 euros al primer lugar y 500 euros al segundo en cada categoría; no está abierto a artistas de Latinoamérica.,https://bop.dipucordoba.es/visor-pdf/21-03-2025/BOP-A-2025-817.pdf,Premio,"Literatura, Relato breve, Poesía",Literatura,Sin cargo,1000.0,EUR,1080.0,
Premio | LIII Concurso de Cuentos José Calderón Escalada,España,Ayuntamiento de Reinosa,"Dirigido a escritores de cualquier nacionalidad, incluidos artistas de Latinoamérica; no requiere pago para participar. Disciplina: literatura (cuento en español). El premio es de 3.250 euros para la obra ganadora.",https://www.aytoreinosa.es/convocadas-las-lxi-justas-literarias-liii-concurso-cuentos-jose-calderon-escalada/,Premio,"Literatura, Cuento",Literatura,Sin cargo,3250.0,EUR,3510.00,
Premio | XVIII Premio Nacional de Poesía Infantil Charo González,España,Fundación Conrado Blanco,"Dirigido a mayores de 18 años de cualquier nacionalidad; no requiere pago para participar. Disciplina: poesía infantil en castellano. Premio único de 2.000 euros, diploma y libros. Abierto a participantes de Latinoamérica.",https://fundacionconradoblanco.com/premio-nacional-de-poesia-infantil-charo-gonzalez/,Premio,"Litaratura, Poesía Infantil",Literatura,Sin cargo,2000.0,EUR,2160.0,
Premio | XXXVII Premio nacional de Poesía “Conrado Blanco León”,España,Fundación Conrado Blanco,"Podrán participar los autores que lo deseen independientemente de su nacionalidad, mayores de 18 años y que no hayan sido premiados en anteriores convocatorias. Será libre tanto el tema como la métrica y rima del poema o poemas, debiendo ser en lengua castellana, originales e inéditos y no exceder de un total de 60 versos. La dotación del Premio es de 2000 Euros.",https://fundacionconradoblanco.com/premio-nacional-de-poesia-conrado-blanco-leon/,Premio,"Literatura, Poesía",Literatura,Sin cargo,2000.0,EUR,2160.0,
Premio | Primer Premio “Laura Rojas” de novela corta,EEUU,La Pereza Ediciones,"Dirigido a autores mayores de edad de Hispanoamérica, Estados Unidos y Canadá, con obras inéditas en español. Las novelas deben tener entre 80 y 120 cuartillas (o 20.000 a 45.000 palabras), escritas en Arial o Times New Roman tamaño 12, a doble espacio. El premio consiste en $1,400 USD y la publicación de la obra por La Pereza Ediciones, con la entrega de 20 ejemplares al autor.",https://www.lapereza.net/single-post/premio-de-novela-laura-rojas,Premio,"Literatura, Novela corta",Literatura,Sin cargo,1400.0,USD,1400.0,
Premio | III Premio Internacional de Poesía Marpoética,España,Ayuntamiento de Marbella,"Dirigido a autores de cualquier edad y nacionalidad, sin requerir pago para participar. Disciplina: poesía. La obra a presentar dispondrá de un mínimo de trescientos versos en castellano.Tanto el tema como la métrica son libres. Cada autor podrá presentar un único poemario. El premio es de 26.000 euros y publicación, y está abierto a artistas de Latinoamérica.",https://www.marbella.es/agenda/cultura-y-ensenanza/marpoetica-premio-poesia.html,Premio,"Literatura, Poesía",Literatura,Sin cargo,26000.0,EUR,28.080.000.000.000.000,
Premio | XII Concurso de Relatos Breves “Una Historia en el Camino”,España,Asociación Cultural Padre Serapio. Bercianos del Real Camino,"Dirigido a mayores de 16 años de cualquier nacionalidad, sin requerir pago para participar. Disciplina: relato breve en castellano que mencione el Camino de Santiago. El premio es de 150 euros y está abierto a participantes de Latinoamérica.",http://asocpadreserapiobercianos.blogspot.com/,Premio,"Literatura, Relato breve",Literatura,Sin cargo,150.0,EUR,162.0,
Convocatoria | Quinta Convocatoria Nacional de Relatos de la Revista Nuevos Narradores,Perú,Maestría de Escritura Creativa de la Universidad Católica del Perú,"Dirigido a autores peruanos o residentes en Perú, mayores de edad e inéditos o con solo un libro publicado; no requiere pago; disciplina: narrativa (relato, crónica, extracto de novela, conjunto de microrrelatos); premio de US$100 por autor seleccionado; no está abierto a artistas de Latinoamérica fuera del Perú.",https://posgrado.pucp.edu.pe/maestria/maestria-escritura-creativa/revista-nuevos-narradores/,Convocatoria,Literatura,Literatura,Sin cargo,100.0,PEN,27.0,
Premio | XLII Premio ESPASA 2025,España,"Editorial Espasa (jurídicamente Editorial Planeta, S.A.U.)","Dirigido a escritores de cualquier nacionalidad mayores de edad, con obras originales e inéditas escritas en castellano. La disciplina principal es el ensayo, con temática libre pero orientada a la investigación, el periodismo o la divulgación. El premio es de 30.000 euros y está abierto a artistas de Latinoamérica.",https://premios.planetadelibros.com/es-ES/candidatura/?id=premio-espasa-2025,Premio,"Literatura, Ensayo, Investigación",Literatura,Sin cargo,30000.0,EUR,32.400.000.000.000.000,
"Premio | V Concurso de cómic ""Universo Goya""",España,Museo Goya de Fundación Ibercaja,"Dirigido a jóvenes de 18 a 30 años nacidos o residentes en España. No se requiere pago para participar; la disciplina artística involucrada es el cómic, y los montos estipulados son 2.000 euros para el primer premio y 1.000 euros para el segundo premio, pero la convocatoria no está abierta para artistas de Latinoamérica.",https://www.fundacionibercaja.es/actividades/concursos-y-certamenes/v-concurso-de-comic-universo-goya/,Premio,"Otras, Comic",Literatura,Sin cargo,2000.0,EUR,2160.0,
"Premio | XXVII Certamen de Relato Corto ""Tierra de Monegros"" 2025",España,Comarca de Los Monegros,"Abierto a todas las personas las personas que lo deseen, cualquiera que sea su nacionalidad, que presenten un único relato escrito en español, original, inédito y no premiado. El texto debe tener entre 12.000 y 24.000 caracteres (sin espacios) y el tema es libre. Los premios son 2.000 € para el primer puesto de Relato Corto, 1.000 € para el segundo, y un posible Premio de Relato Monegrino de 1.000 €. Además, los ganadores y un acompañante serán invitados a una estancia y visita guiada por la Comarca.",https://www.losmonegros.com/-/publicadas-las-bases-del-xxvii-certamen-de-relato-corto-tierra-de-monegros-,Premio,"Literatura, Relato Corto",Literatura,Sin cargo,2000.0,EUR,2160.0,
Convocatoria | Premio Internacional Luigi Vanvitelli 2025 (2a Edición),Italia,"Premio di Poesia Città di Caserta, fondato da Maria Pia Dell'Omo e Antonio Dentice","El Premio abre su quinta sección ""Sur"" para poetas de América Latina que escriban en lenguas hispanoamericanas, con el objetivo de dar voz a ""otras"" voces poéticas de la región. La participación es gratuita y los autores pueden enviar hasta dos poemas (publicados o inéditos), cada uno de un máximo de 50 versos. Los tres primeros clasificados verán cuatro de sus poemas traducidos al italiano y publicados en ""Punto – Almanacco Letterario"" y la revista literaria ""Innombrable"".",https://www.premiointernazionaleluigivanvitelli.it/,Convocatoria,"Literatura, Poesía",Literatura,Sin cargo,,EUR,,
"Premio | Concurso de Creación Literaria ""Pallars Sobirà"" Pirineos 2025",España,CCLPSP-2025 /J. L. Meneses,"El concurso busca promover la creación literaria entre jóvenes de 18 a 29 años. Los participantes deben enviar un relato original e inédito, en castellano o catalán, con tema libre y una extensión de 75 a 150 páginas. El ganador, anunciado el 1 de septiembre de 2025, recibirá un diploma, 500 euros y la edición de 10 ejemplares de su obra. No se especifica si esta abierta para autores latinoamericanos.",https://www.joseluismeneses.com/concurso-ccl-ps,Premio,"Literatura, Novela Corta",Literatura,Sin cargo,500.0,EUR,540.0,
Premio | XVIII Certamen Internacional de Teatro Mínimo AnimaT.sur,España,AnimaT.sur,"Dirigido a dramaturgos de cualquier nacionalidad buscando estimular la creación y lectura de textos teatrales originales e inéditos, escritos en castellano y de tema libre. Se valorará la calidad literaria y viabilidad escénica de las obras, las cuales deben tener entre 14 y 15 folios, excluyendo monólogos, fragmentos o guiones cinematográficos. Solo se acepta una obra por autor. El primer premio consiste en 1.000 euros en metálico y la publicación conjunta de la obra con el accésit en un volumen de 150 ejemplares (25 para cada autor), presentándose en una biblioteca de Leganés. La asociación se reserva el derecho de estrenar la obra ganadora durante un año. La entrega del premio será en una Gala en Leganés en noviembre, siendo obligatoria la presencia del ganador o un representante.",https://www.teatroestableleganes.com/,Premio,"Escénicas, Literatura, Dramaturgía",Escénicas,Sin cargo,1000.0,EUR,1080.0,
Beca | Becas Antonio Pereira,España,Fundación Antonio Pereira,".Dirigidas a poetas, escritores, investigadores y estudiosos de cualquier nacionalidad. El objetivo es fomentar la iniciativa creadora en el ámbito poético y literario, con propuestas que deben presentarse en lengua castellana o gallega. La beca otorga un fondo total de 50.000 €, con una cuantía mínima de 10.000 € por propuesta, distribuida según la calidad de los proyectos. Los interesados deben enviar su solicitud con sus datos identificativos y un memorando del trabajo a realizar.",https://www.unileon.es/noticias/universidad-y-fundacion-antonio-pereira-crean-unas-becas-para-impulsar-el-talento,Beca,"Literatura, Poesía, Investigación",Literatura,Sin cargo,50000.0,EUR,54000.0,
"Premio | 18ª edición del premio ""Tristana"" de novela fantástica",España,Ayuntamiento de Santander,Dirigido a escritores de cualquier nacionalidad que presenten novelas fantásticas originales e inéditas en español; no requiere pago para participar. Disciplina: literatura (novela fantástica). El premio es de 8.000 euros y está abierto a autores de Latinoamérica.,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=417407,Premio,"Literatura, Novela Fantástica",Literatura,Sin cargo,8000.0,EUR,8640.0,
"Premio | 15ª. edición del Premio ""Ricardo López Aranda"" de textos teatrales para autores jóvenes",España,Ayuntamiento de Santander,Dirigido a escritores de lengua española menores de 35 años; no requiere pago para participar. Disciplina: textos teatrales. El premio es de 4.000 euros y está abierto a autores de Latinoamérica.,http://www.injuve.es/convocatorias/premios/15a-premio-ricardo-lopez-aranda-de-textos-teatrales-para-autores-jovenes,Premio,"Escénicas, Literatura, Dramaturgía",Escénicas,Sin cargo,4000.0,EUR,4320.0,
Premio | XXVII Certamen de poesía Rosalía de Castro,España,Casa de Galicia en Córdoba,"Dirigido a poetas de cualquier nacionalidad que no hayan ganado antes el certamen, sin requerir pago. Disciplina: poesía en castellano. Premio de 3.000 euros y 150 ejemplares; abierto a participantes de Latinoamérica.",http://casagaliciacordoba.com/,Premio,"Literatura, Poesía",Literatura,Sin cargo,3000.0,EUR,3240.0,
Premio | XXIII Premio de Relato Corto ‘Calicanto’,España,Ayuntamiento de Manzanares,"Dirigido a personas mayores de 18 años españolas o residentes en España, no requiere pago para participar, involucra la disciplina de relato corto (literatura), el ganador recibe 600 euros y publicación, y la oportunidad no está abierta a artistas de Latinoamérica salvo que residan en España.",https://manzanares.es/actualidad/noticias/ayuntamiento-manzanares-convoca-sus-certamenes-literarios-poesia-y-relato-corto,Premio,"Literatura, Relato Corto",Literatura,Sin cargo,600.0,EUR,648.0,
Premio | XXIV Premio de Poesía ‘Ciega de Manzanares’,España,Ayuntamiento de Manzanares,"Dirigido a mayores de 18 años no galardonados en ediciones previas, busca reconocer obras poéticas originales, inéditas y escritas en castellano. La convocatoria, sin límite de edad máxima ni procedencia geográfica, destaca la importancia de una ""obra total"", un poemario coherente en estructura y temática, no una simple recopilación. Las obras deben tener entre 500 y 1.000 versos, presentadas en doble formato (impreso y digital) con especificaciones de maquetación. El premio consiste en 3.000 euros, la publicación de la obra por Huerga y Fierro Editores y 100 ejemplares para el autor.",https://manzanares.es/actualidad/noticias/ayuntamiento-manzanares-convoca-sus-certamenes-literarios-poesia-y-relato-corto,Premio,"Literatura, Poesía",Literatura,Sin cargo,3000.0,EUR,3240.0,
Convocatoria | Cimientos Play Development Program,EEUU," IATI Theater, N.Y.","Dirigida a dramaturgos de cualquier parte del mundo que escriban en inglés o español, con el objetivo de desarrollar obras teatrales originales y aún no producidas profesionalmente. Los requisitos generales importantes incluyen que la obra sea inédita, de autoría única, tenga una duración de entre 45 y 90 minutos, y preferiblemente requiera cinco actores o menos.",https://www.iatitheater.org/cimientos-submission-details,Convocatoria,"Escénicas, Dramaturgía",Escénicas,Sin cargo,,USD,,
Premio | 3er Premio Hispanoamericano de Poesía “Juegos florales” Gabriela Mistral de Vicuña,Chile,Corporación Cultural de Vicuña - Municipalidad de Vicuña,"Podrán participar todas las personas, de cualquier nacionalidad, que residan en Hispanoamérica o España, siempre y cuando sus obras estén escritas en lengua castellana. El tema es libre, pero las obras deben ser originales, inéditas, no premiadas, y con una extensión entre 500 y 700 versos. El ganador recibirá USD $2000, la publicación de su obra, y 100 copias de su libro.",https://www.instagram.com/vicunacultura/,Premio,"Literatura, Poesía",Literatura,Sin cargo,100.0,COP,26,
Premio | IX Premio Internacional del Poesía Margarita Hierro,España,Fundación Centro de Poesía José Hierro,"Dirigido a poetas mayores de edad de cualquier nacionalidad, incluyendo latinoamericanos, a participar con un poemario inédito escrito en castellano. Se buscan obras con una extensión de entre 500 y 1.000 versos, o entre 4.000 y 13.000 palabras si son poemas en prosa. El Premio está dotado con 6000 euros en concepto de anticipo de derechos de autor, y ofrece al poeta premiado/a la publicación de su obra en una cuidada edición.",https://www.cpoesiajosehierro.org/web/index.php/cuanto-hacemos-aqui/premio-margarita-hierro,Premio,"Literatura, Poesía",Literatura,Sin cargo,0.0,EUR,0.0,
Premio | XXVIII Premio Literario Nostromo - L'Aventura Marítima,España,Associació Amics de Nostromo,"Dirigido a autores de cualquier nacionalidad (incluyendo latinoamericanos) a participar con una novela de ficción histórica (ambientada hasta la Segunda Guerra Mundial), cuyo tema principal debe ser la navegación, industria, aventura o cultura marítima, o el mar en general. La obra, escrita en catalán o castellano, debe ser inédita, no premiada y tener un mínimo de 50.000 palabras. El premio consiste en una dotación económica de 5.000 € y la publicación de la obra por EDHASA.",https://www.premionostromo.org/,Premio,"Literatura, Novela",Literatura,Sin cargo,5000.0,EUR,5400.0,
